app_version,build_ios,build_android,platform,flow_category,endpoint,http_method,auth,background,screen_or_module,notes
1.0.13,50,50,iOS+Android,Registrace / login,POST /api/client/auth/otp/request,POST,none,no,login.tsx,Telefonní OTP – ověření existence klienta a odeslání kódu
1.0.13,50,50,iOS+Android,Registrace / login,POST /api/client/auth/otp/verify,POST,none,no,login-otp.tsx,OTP verify; body obsahuje platform (iOS/Android) a appVersion
1.0.13,50,50,iOS+Android,Registrace / login,POST /api/client/auth/login,POST,none,no,login-password.tsx,Přihlášení telefon + heslo; body platform = ios|android (lowercase)
1.0.13,50,50,iOS+Android,Registrace / login,POST /api/client/auth/register,POST,none,no,useSignupFlow.ts,Registrace nového klienta (telefon+heslo nebo registrationToken po OTP)
1.0.13,50,50,iOS+Android,Registrace / login,GET /api/media,GET,none,no,SignupAvatarPicker.tsx,Veřejný katalog avatarů při registraci (flag Avatarappdefault); paginace přes api/media.ts
1.0.13,50,50,iOS+Android,Registrace / login,POST /api/client/avatar,POST,Bearer,no,useSignupFlow.ts,Nahrání vlastní profilové fotky po registraci
1.0.13,50,50,iOS+Android,Registrace / login,PATCH /api/client/me,PATCH,Bearer,no,useSignupFlow.ts / edit-profile.tsx,Doplnění profilu po registraci (avatarUrl katalogu jméno email birthday)
1.0.13,50,50,iOS+Android,Registrace / login,GET /api/client/me,GET,Bearer,no,useSignupFlow.ts / edit-profile.tsx,Načtení profilu po registraci nebo na obrazovce úprav
1.0.13,50,50,iOS+Android,Google / Apple login,(neimplementováno),,,,,V kódu nejsou OAuth endpointy; welcome.tsx nabízí jen telefonní login
1.0.13,50,50,iOS+Android,Zapomenuté heslo,POST /api/client/auth/forgot-password,POST,none,no,forgot-password.tsx,Reset hesla přes identifier (email nebo telefon)
1.0.13,50,50,iOS+Android,Zapomenuté heslo / aktivace,(aktivace e-mailem),,,,,V appce není samostatný activation flow – jen OTP registrace
1.0.13,50,50,iOS+Android,Profil – change password,POST /api/client/change-password,POST,Bearer,no,change-password.tsx,Změna hesla přihlášeného klienta
1.0.13,50,50,iOS+Android,Profil – me / avatar / bio,GET /api/client/me,GET,Bearer,yes,profile.tsx / edit-profile.tsx,Profil: refresh při focus tabu (useFocusEffect)
1.0.13,50,50,iOS+Android,Profil – me / avatar / bio,PATCH /api/client/me,PATCH,Bearer,no,edit-profile.tsx,Úprava jména adresy birthday atd.
1.0.13,50,50,iOS+Android,Profil – me / avatar / bio,POST /api/client/media,POST,Bearer,no,edit-profile.tsx,Nahrání avataru přes media upload (edit profil)
1.0.13,50,50,iOS+Android,Profil – smazání účtu,DELETE /api/client/account,DELETE,Bearer,no,delete-account.tsx,Anonymizace a deaktivace účtu
1.0.13,50,50,iOS+Android,Home / overview,GET /api/client/reservations,GET,Bearer,yes,real-barber.tsx / BookingsBadgeContext.tsx,Seznam rezervací pro home spotlight a badge; refresh při focus home tabu
1.0.13,50,50,iOS+Android,Home / overview,GET /api/client/coupons,GET,Bearer,yes,real-barber.tsx,Kupóny pro promo carousel na home; refresh při focus
1.0.13,50,50,iOS+Android,Home / overview,GET /api/client/posters,GET,Bearer,yes,real-barber.tsx,Marketingové plakáty na home; refresh při focus
1.0.13,50,50,iOS+Android,Home / overview,GET /api/client/overview,GET,Bearer,no,useBookingDetailScreen.ts,Overview recenzí u detailu rezervace (with/without reviews)
1.0.13,50,50,iOS+Android,Rezervace – availability,GET /api/client/bookings/availability,GET,Bearer,no,useReservationAvailability.ts,Výběr termínu; noCache=true; při změně měsíce paralelní volání pro každý den v měsíci
1.0.13,50,50,iOS+Android,Rezervace – availability,GET /api/client/availability/employees-nearest,GET,Bearer,no,useReservationCatalog.ts,Nejbližší volný slot holičů pro službu na pobočce
1.0.13,50,50,iOS+Android,Rezervace – create,POST /api/client/bookings,POST,Bearer,no,useReservationSubmit.ts,Vytvoření rezervace (volitelně couponCode)
1.0.13,50,50,iOS+Android,Rezervace – kupón preview,POST /api/client/coupons/preview,POST,Bearer,no,useReservationCoupon.ts,Náhled slevy před potvrzením rezervace
1.0.13,50,50,iOS+Android,Rezervace – cancel,DELETE /api/client/bookings/{id},DELETE,Bearer,no,BookingDetailFooterActions.tsx,Zrušení rezervace (volitelný reason v body)
1.0.13,50,50,iOS+Android,Rezervace – opakování / přeplánování,PATCH /api/client/bookings/{id},PATCH,Bearer,no,reschedule-summary.tsx,Změna termínu/holiče/služby (reschedule flow)
1.0.13,50,50,iOS+Android,Rezervace – bootstrap data,GET /api/client/branches,GET,Bearer,no,useReservationBootstrap.ts / branches.tsx / map.tsx,Seznam poboček pro rezervaci a katalog
1.0.13,50,50,iOS+Android,Rezervace – bootstrap data,GET /api/client/branches/{id},GET,Bearer,no,useReservationCatalog.ts,Detail pobočky při deep-link do reservation-create s branchId
1.0.13,50,50,iOS+Android,Rezervace – bootstrap data,GET /api/client/employees,GET,Bearer,no,useReservationBootstrap.ts / experience.tsx,Seznam holičů
1.0.13,50,50,iOS+Android,Rezervace – bootstrap data,GET /api/client/employees/{id},GET,Bearer,no,useReservationCatalog.ts / useBarberDetailScreen.ts,Detail holiče (služby pobočky media)
1.0.13,50,50,iOS+Android,Rezervace – bootstrap data,GET /api/client/items,GET,Bearer,no,services.tsx / service-detail.tsx,Seznam služeb (paginace přes getItemsAll)
1.0.13,50,50,iOS+Android,Moje rezervace,GET /api/client/reservations,GET,Bearer,yes,bookings.tsx / profile.tsx,Tab Rezervace + počet rezervací na profilu; pull-to-refresh a useFocusEffect
1.0.13,50,50,iOS+Android,Moje rezervace – detail,GET /api/client/bookings/{id},GET,Bearer,no,useBookingDetailScreen.ts / reschedule.tsx,Primární detail; fallback paginace přes GET reservations
1.0.13,50,50,iOS+Android,Holiči / pobočky / služby,GET /api/client/branches,GET,Bearer,no,branches.tsx / map.tsx / branch-detail / kudy-k-nam-detail.tsx,Pobočky včetně includeReviews
1.0.13,50,50,iOS+Android,Holiči / pobočky / služby,GET /api/client/employees,GET,Bearer,no,experience.tsx / transfer-select-recipient.tsx,Holiči včetně workSchedule a recenzí
1.0.13,50,50,iOS+Android,Holiči / pobočky / služby,GET /api/client/employees/{id},GET,Bearer,no,barber-detail.tsx,Detail holiče
