key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
accentCurrentColor,Settings,Aktuální barva,Current color,Поточний колір,,,
accentHexPlaceholder,Settings,např. #FF4F31,e.g. #FF4F31,напр. #FF4F31,,,
accentHueSlider,Settings,Odstín,Hue,Відтінок,,,
accentReset,Settings,Výchozí barva,Default color,Колір за замовчуванням,,,
accentTabPreviewLabel,Settings,Náhled aktivní záložky,Active tab preview,Перегляд активної вкладки,,,
accentTitle,Settings,Barevnost,Accent color,Кольори,,Colors,Web Accent.title = Barevnost / Colors (app EN: Accent color).
appearanceOptionDark,Profile,Tmavý,Dark,Темний,,,
appearanceOptionLight,Profile,Světlý,Light,Світлий,,,
appearanceOptionSystem,Profile,Dle systému,System,За системою,,,
appearanceSheetTitle,Profile,Vzhled stránky,Page appearance,Вигляд сторінки,,,
barberAboutMe,Service / Barber detail,O mně,About me,Про мене,,,
barberAvailability,Service / Barber detail,Dostupnost,Availability,Доступність,,,
barberBook,Service / Barber detail,Rezervovat,Book,Забронювати,,,
barberBranches,Barber detail,Pobočky,Branches,Філії,,,
barberCollapseShifts,Service / Barber detail,Zabalit,Collapse,Згорнути,,,
barberColoringSkills,Service / Barber detail,Barvení,Coloring,Фарбування,,,
barberFavoriteServices,Service / Barber detail,Oblíbené služby,Favorite services,Улюблені послуги,,,
barberFindMeAtBranch,Service / Barber detail,Najdete mě na pobočce,Find me at this branch,Знайдете мене на філії,,,
barberFindMeAtBranches,Service / Barber detail,Najdete mě na pobočkách,Find me at these branches,Знайдете мене на філіях,,,
barberFullyBookedThatDay,Service / Barber detail,Tento den plně obsazeno,Fully booked this day,Цей день повністю зайнятий,,,
barberFullyBookedToday,Service / Barber detail,Dnes plně obsazeno,Fully booked today,Сьогодні повністю зайнятий,,,
barberHairstyleSkills,Service / Barber detail,Střihy,Haircuts,Укладки,,,
barberLanguages,Service / Barber detail,Mluvím,I speak,Мови,,,
barberLoadAllShifts,Service / Barber detail,Načíst všechny směny,Load all shifts,Завантажити всі зміни,,,
barberLoadMoreShifts,Service / Barber detail,Načíst další směny,Load more shifts,Завантажити ще зміни,,,
barberMenuBook,Service / Barber detail,Rezervuj se ke mě,Book with me,Забронюй до мене,,,
barberMenuOpen,Service / Barber detail,Další akce,More actions,Інші дії,,,
barberMenuRate,Service / Barber detail,Ohodnotit,Rate,Оцінити,,,
barberMenuShare,Service / Barber detail,Sdílet,Share,Поділитися,,,
barberMine,Service / Barber detail,Moje,Mine,Мої,,,
barberMyFavorites,Service / Barber detail,Moje nejoblíbenější,My favorites,Мої улюблені,,,
barberNearestSlotTitle,Service / Barber detail,Nejbližší termín,Nearest slot,Найближчий термін,,,
barberNearestSlotsTitle,Service / Barber detail,Nejbližší termíny,Nearest slots,Найближчі терміни,,,
barberNoAvailability,Service / Barber detail,Kalendář směn zatím není k dispozici.,Shift calendar is not available yet.,Календар змін поки недоступний.,,,
barberNoReviews,Service / Barber detail,Zatím žádné recenze.,No reviews yet.,Поки немає відгуків.,,,
barberNoShifts,Service / Barber detail,Žádné naplánované směny.,No scheduled shifts.,Немає запланованих змін.,,,
barberNotFound,Service / Barber detail,Holič nenalezen,Barber not found,Барбера не знайдено,,,
barberPhoneCall,Service / Barber detail,Zavolat,Call,Зателефонувати,,,
barberReserveWith,Service / Barber detail,Rezervovat u tohoto holiče,Reserve with this barber,Забронювати в цього барбера,,,
barberReview,Barber detail,Recenze,Review,Відгук,,,
barberReviewsLoadError,Service / Barber detail,Recenze se nepodařilo načíst.,Could not load reviews.,Не вдалося завантажити відгуки.,,,
barberReviewsLoading,Service / Barber detail,Načítám…,Loading…,Завантажую…,,,
barberReviewsNext,Service / Barber detail,Další,Next,Інше,,,
barberReviewsPrevious,Service / Barber detail,Předchozí,Previous,Попередня,,,
barberScrollToAvailability,Service / Barber detail,"""Podívejte se, kdy jsem příště""",See when I am available next,"""Подивіться, коли я наступного разу""",,,
barberSelect,Service / Barber detail,Vybrat,Select,Обрати,,,
barberServices,Barber detail,Služby,Services,Послуги,,,
